028000098417;900000043617;0;0
028000160702;028099018699;1;0
028000161174;028099018435;1;0
028000179352;028099017768;1;0
028000181250;900000043617;0;0
028000181988;028099019588;1;0
028000240899;028099019594;1;0
028000240907;028099019596;1;0
028000241070;028099019597;1;0
028000241280;028099019601;1;0
028000252368;028099019608;1;0
028000263287;028099018437;1;0
028000266243;028099017330;1;1
028000335693;028099017338;1;1
028000336806;028099019783;1;0
028000347923;028099017776;1;0
028001020492;028099017343;1;0
028001021223;028099017345;1;0
028001027104;900000043617;0;0
028001031452;028099018439;1;0
028001032407;028099017787;1;0
028001039068;900000043617;0;0
028001043801;028099018703;1;0
028001044532;028099019626;1;0
028001044856;028099019629;1;0
028001045643;028099018331;1;0
028001046169;028099019634;1;1
028001046654;028099019637;1;0
028005809311;900000043617;0;0
028005815634;028099016638;1;0
028005817160;028099017794;1;1
028005817302;028099018452;1;0
028005817444;900000043617;0;0
028005818133;028099018716;1;0
028005819012;900000043617;0;0
028005832404;028099018718;1;0
028005832576;028099017800;1;0
028005832784;028099018721;1;0
028005833220;028099018455;1;0
028005834508;028099019641;1;0
028005858582;900000043617;0;0
028005858689;028099018678;1;1
028005859328;028099017811;1;1
028005859382;028099017812;1;0
028005859992;028099018689;1;1
028005880763;028099017830;1;1
028005880805;900000043617;0;0
028005881053;028099019656;1;0
028005881296;028099019664;1;1
028005881492;900000043617;0;0
028005882402;028099018325;1;0
028005894901;028099019683;1;0
028005894962;028099019685;1;1
028005894972;028099019686;1;0
028005895008;028099019687;1;1
028005895107;028099019691;1;1
028005895140;028099019696;1;1
028005895165;028099019697;1;1
028005895768;028099019709;1;0
028008108593;028099018471;1;0
028008108875;028099018697;1;0
028008108885;028099018736;1;0
028008108886;028099018477;1;0
028008108930;028099018737;1;1
028008109014;028099018478;1;0
028008109370;900000043617;0;0
028008109477;028099017865;1;0
028008109530;028099018742;1;1
028008109567;028099017867;1;1
028008109624;028099018487;1;0
028008109658;028099017869;1;1
028008109829;028099018744;1;1
028008109858;028099017873;1;1
028008109885;028099017874;1;0
028008110736;028099018338;1;0
028008120663;028099018491;1;0
028008120721;028099018494;1;0
028008120865;028099018751;1;0
028008121293;028099019710;1;1
028008121368;028099018765;1;0
028008121382;900000043617;0;0
028008136047;900000043617;0;0
028008136177;028099018518;1;1
028008136555;028099017902;1;0
028008136624;900000043617;0;0
028008137164;028099017909;1;1
028008137385;900000043617;0;0
028008158039;028099016640;1;0
028008159248;028099018794;1;0
028008159256;028099018540;1;1
028008159764;028099018546;1;0
028008159773;028099018547;1;0
028008159905;028099018345;1;1
028008159950;028099018346;1;0
028008159981;028099018550;1;0
028008159992;028099018348;1;1
028008160268;028099017582;1;0
028008160522;900000043617;0;0
028008160530;028099018365;1;0
028008160572;900000043617;0;0
028008160663;028099017924;1;0
028008160675;028099018368;1;0
028008160725;028099017927;1;0
028008160732;028099018369;1;0
028008160891;028099018567;1;1
028008161287;900000043617;0;0
028008161408;028099017932;1;1
